intervals,technique,fold,horizon,cosine,rmse,er_pred,er_actual
75,ar2,7,3,0.014385406942961976,3.0356414481142813,5.119860768719247,4.5267389085736385
75,ar2,8,3,0.21295195373315468,11.362426255678663,6.291505297269421,4.829241158711842
75,ar2,9,3,0.1528477391437072,9.833817990220943,5.808056042838402,4.327482091757218
75,ar2,0,4,0.01609077176261353,3.024147151133512,5.500597616590504,4.721859584796138
75,ar2,1,4,0.06117868717784203,6.304545312487439,5.0454532039814834,4.3093610230777575
75,ar2,2,4,0.019686539904260947,3.443952639388867,5.302630921616426,4.528345036766333
75,ar2,3,4,0.02732696950837754,4.041382017268872,5.736269882232819,4.670928556716118
75,ar2,4,4,0.03684484357473228,4.650404836573805,5.4717837377745235,4.545408870439585
75,ar2,5,4,0.024795254634812247,3.530920653536413,5.829048337547799,5.032552500474465
75,ar2,6,4,0.03997420621467185,5.100319323435271,5.281757385100511,4.104181457846501
75,ar2,7,4,0.014737256883133876,2.9890157928235332,5.468371882804469,4.462647390687442
75,ar2,8,4,0.17511623476591165,10.341072195347316,5.86168576936504,4.5267389085736385
75,ar2,9,4,0.15857358719976866,9.492284017358365,6.235243200188269,4.829241158711842
75,ar2,0,5,0.03912661885194946,4.738939938199179,5.351915065456868,4.8092273012354765
75,ar2,1,5,0.018405700092284594,3.2139922729779067,5.2829430964957576,4.721859584796138
75,ar2,2,5,0.061287111562006835,6.320176401122887,5.037018644778691,4.3093610230777575
75,ar2,3,5,0.02086484565428426,3.533891140000625,5.363210901582533,4.528345036766333
75,ar2,4,5,0.03149747016684201,4.289017010767161,5.665002461227802,4.670928556716118
75,ar2,5,5,0.04130718907275366,4.890926088134624,5.656069497945815,4.545408870439585
75,ar2,6,5,0.03342877550493173,4.088294597297909,6.435986813355614,5.032552500474465
75,ar2,7,5,0.0342991490025758,4.8170268895307,5.2288841389092635,4.104181457846501
75,ar2,8,5,0.01903840904644849,3.3384612663430615,5.5269623959137215,4.462647390687442
75,ar2,9,5,0.16684723260904433,10.05039016656507,5.846088729231885,4.5267389085736385
75,ar2,0,6,0.04379770144069839,5.238492860916754,5.054160326116789,4.397161664618012
75,ar2,1,6,0.042825765635767565,4.938937889905331,5.3311774144013295,4.8092273012354765
75,ar2,2,6,0.017518198108860683,3.153115041617427,5.441457489664511,4.721859584796138
75,ar2,3,6,0.06111001868057231,6.312119461148683,5.016816658295079,4.3093610230777575
75,ar2,4,6,0.024684931047331715,3.784058785716529,5.460412767665762,4.528345036766333
75,ar2,5,6,0.036277748544380706,4.5648383147506415,5.746209396500296,4.670928556716118
75,ar2,6,6,0.035907207858668744,4.622802615649893,5.869423892117262,4.545408870439585
75,ar2,7,6,0.027627487556068586,3.7180607222709554,6.323812071450609,5.032552500474465
75,ar2,8,6,0.3880580670683549,20.295437707125025,5.976425639229439,4.104181457846501
75,ar2,9,6,0.10507035640173712,7.668663689818413,5.517430464919062,4.462647390687442
